<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	05:00:00	2356.668	2362.467	2352.082	2361.097	7382	0	199
2024.04.15	06:00:00	2361.080	2361.513	2353.047	2354.858	10690	0	199
2024.04.15	07:00:00	2354.816	2356.356	2349.952	2353.051	9196	0	199
2024.04.15	08:00:00	2353.038	2356.011	2344.710	2351.557	10749	0	199
2024.04.15	09:00:00	2351.585	2353.498	2346.308	2349.609	6928	0	199
2024.04.15	10:00:00	2349.626	2356.981	2349.189	2356.747	5869	0	199
2024.04.15	11:00:00	2356.711	2361.183	2355.500	2357.947	7280	0	199
2024.04.15	12:00:00	2357.985	2359.260	2351.100	2357.347	12445	0	199
2024.04.15	13:00:00	2357.379	2361.138	2343.118	2348.627	19648	0	199
2024.04.15	14:00:00	2348.596	2352.501	2324.114	2349.464	34998	0	199
2024.04.15	15:00:00	2349.417	2352.576	2342.572	2351.685	15008	0	199
2024.04.15	16:00:00	2351.706	2359.988	2346.117	2357.120	11109	0	199
2024.04.15	17:00:00	2357.099	2370.645	2354.065	2365.439	14350	0	199
2024.04.15	18:00:00	2365.376	2378.187	2363.679	2375.865	9389	0	199
2024.04.15	19:00:00	2375.832	2387.636	2373.941	2386.315	12409	0	199
2024.04.15	20:00:00	2386.369	2386.718	2380.037	2382.778	4668	0	199
2024.04.15	22:00:00	2380.800	2392.013	2380.686	2384.121	3381	0	599
2024.04.15	23:00:00	2384.120	2387.325	2381.073	2381.833	4035	0	199
2024.04.16	00:00:00	2381.896	2387.654	2380.127	2383.451	7039	0	199
2024.04.16	01:00:00	2383.400	2386.953	2379.216	2383.675	10756	0	199
2024.04.16	02:00:00	2383.690	2388.008	2379.530	2386.145	7066	0	199
2024.04.16	03:00:00	2386.092	2389.328	2384.437	2387.870	5861	0	199
2024.04.16	04:00:00	2387.903	2388.251	2384.000	2386.050	5736	0	199
2024.04.16	05:00:00	2386.106	2389.020	2384.890	2386.485	5341	0	199
2024.04.16	06:00:00	2386.217	2388.142	2368.630	2373.032	12469	0	199
2024.04.16	07:00:00	2372.996	2375.232	2362.964	2365.653	9624	0	199
2024.04.16	08:00:00	2365.497	2371.925	2365.102	2369.409	6818	0	199
2024.04.16	09:00:00	2369.444	2373.198	2367.428	2372.339	6287	0	199
2024.04.16	10:00:00	2372.391	2375.370	2368.633	2370.125	7427	0	199
2024.04.16	11:00:00	2370.180	2375.271	2369.685	2373.956	6924	0	199
2024.04.16	12:00:00	2373.956	2378.208	2368.478	2376.184	10610	0	199
2024.04.16	13:00:00	2376.223	2379.272	2365.228	2366.317	22988	0	199
2024.04.16	14:00:00	2366.257	2383.405	2363.470	2382.913	24908	0	199
2024.04.16	15:00:00	2382.956	2393.012	2377.843	2385.980	19968	0	199
2024.04.16	16:00:00	2386.046	2398.252	2385.465	2397.499	12184	0	199
2024.04.16	17:00:00	2397.533	2397.645	2379.716	2384.702	21555	0	199
2024.04.16	18:00:00	2384.655	2396.448	2383.489	2392.297	15237	0	199
2024.04.16	19:00:00	2392.275	2395.218	2389.049	2389.641	7455	0	199
2024.04.16	20:00:00	2389.693	2390.279	2378.367	2382.208	4305	0	199
