,RSI,STOCH_D,MACD_HIST,LABEL
308,1,2,1,0
309,1,2,1,1
310,0,0,0,0
311,0,2,1,1
312,0,0,0,1
313,0,0,0,1
314,1,2,1,-1
315,1,1,1,0
316,0,2,0,0
317,0,2,0,-1
318,1,1,1,0
319,1,2,1,1
320,1,2,0,0
321,1,1,1,-1
322,0,2,1,-1
323,1,1,1,1
324,0,0,0,0
325,0,2,0,1
326,0,0,0,1
327,1,0,0,1
328,1,2,1,0
329,0,2,1,-1
330,1,1,1,1
331,0,2,1,-1
332,0,2,0,-1
333,1,1,1,0
334,0,2,0,0
335,1,2,0,-1
336,1,1,1,-1
337,0,2,0,1
338,1,2,0,-1
339,0,2,1,1
340,0,0,0,-1
341,1,1,1,1
342,0,2,1,1
343,0,0,0,0
344,1,2,1,-1
345,0,2,1,1
346,0,0,0,-1
347,0,2,1,-1
348,1,1,1,0
349,0,0,0,-1
350,0,2,1,1
351,1,0,0,-1
352,1,1,1,1
353,0,0,0,1
354,1,2,1,-1
355,0,2,1,1
356,0,0,0,0
357,1,2,1,-1
358,0,1,1,-1
359,1,1,1,1
360,1,2,0,1
361,0,2,0,0
362,0,2,0,1
363,0,0,0,-1
364,0,0,0,1
365,1,2,0,1
366,0,0,1,-1
367,1,1,1,0
368,1,1,1,0
369,1,1,1,0
370,1,2,0,0
371,1,2,0,1
372,0,0,0,-1
373,1,1,1,0
374,1,0,0,1
375,1,2,0,-1
376,1,1,1,0
377,0,0,0,1
378,1,2,0,0
379,0,0,0,-1
380,0,2,1,0
381,1,1,1,1
382,1,0,0,-1
383,0,2,1,-1
384,1,1,1,1
385,0,0,0,0
386,0,2,0,1
387,0,0,0,0
388,0,0,1,-1
389,0,1,1,-1
390,0,2,1,1
391,0,2,0,-1
392,0,2,0,1
393,1,0,0,1
394,0,0,0,1
395,1,0,0,1
396,1,0,0,-1
397,1,1,1,-1
398,0,2,0,-1
399,1,1,0,-1
400,0,1,1,0
401,1,2,0,-1
402,0,2,1,0
403,1,1,1,1
404,0,0,0,1
405,0,0,0,0
406,1,2,1,-1
407,0,0,1,-1
408,0,2,1,1
409,1,2,1,1
410,1,2,1,0
411,1,1,1,-1
412,1,1,1,0
413,1,2,0,1
414,0,0,0,-1
415,1,1,1,0
416,0,0,0,-1
417,0,2,0,-1
418,1,2,1,0
419,1,0,0,0
420,0,2,0,0
421,1,2,1,-1
422,0,2,1,0
423,1,2,1,1
424,0,0,0,1
425,1,2,1,1
426,0,0,0,1
427,0,0,0,0
428,1,2,1,1
429,0,0,1,1
430,1,2,1,-1
431,0,2,1,0
432,0,0,0,1
433,1,0,1,1
434,1,0,0,1
435,0,0,0,-1
