,precision,recall,f1-score,support
-1,0.32432432432432434,0.3076923076923077,0.3157894736842105,39.0
0,0.25,0.027777777777777776,0.05,36.0
1,0.37349397590361444,0.6326530612244898,0.4696969696969697,49.0
accuracy,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.3548387096774194
macro avg,0.3159394334093129,0.32270771556485844,0.2784954811270601,124.0
weighted avg,0.32217623764456255,0.3548387096774194,0.2994430724906107,124.0
